cultivar,condition,timepoints,biological_replicate,technical_replicate,location_of_left_pair,location_of_right_pair
H95,Inoculated,3dpi,3,2,/XYZ/ABC/Inoculated_3dpi_br_3_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_3dpi_br_3_tr_2_2.fastq.gz
Rp1-I,Control,3dpi,3,1,/XYZ/ABC/Control_3dpi_br_3_tr_1_1.fastq.gz,/XYZ/ABC/Control_3dpi_br_3_tr_1_2.fastq.gz
Rp1-I,Control,3dpi,3,2,/XYZ/ABC/Control_3dpi_br_3_tr_2_1.fastq.gz,/XYZ/ABC/Control_3dpi_br_3_tr_2_2.fastq.gz
Rp1-I,Inoculated,3dpi,3,1,/XYZ/ABC/Inoculated_3dpi_br_3_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_3dpi_br_3_tr_1_2.fastq.gz
Rp1-I,Inoculated,3dpi,3,2,/XYZ/ABC/Inoculated_3dpi_br_3_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_3dpi_br_3_tr_2_2.fastq.gz
H95,Control,5dpi,3,1,/XYZ/ABC/Control_5dpi_br_3_tr_1_1.fastq.gz,/XYZ/ABC/Control_5dpi_br_3_tr_1_2.fastq.gz
H95,Control,5dpi,3,2,/XYZ/ABC/Control_5dpi_br_3_tr_2_1.fastq.gz,/XYZ/ABC/Control_5dpi_br_3_tr_2_2.fastq.gz
H95,Inoculated,5dpi,3,1,/XYZ/ABC/Inoculated_5dpi_br_3_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_5dpi_br_3_tr_1_2.fastq.gz
H95,Inoculated,5dpi,3,2,/XYZ/ABC/Inoculated_5dpi_br_3_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_5dpi_br_3_tr_2_2.fastq.gz
Rp1-I,Control,5dpi,3,1,/XYZ/ABC/Control_5dpi_br_3_tr_1_1.fastq.gz,/XYZ/ABC/Control_5dpi_br_3_tr_1_2.fastq.gz
Rp1-I,Control,5dpi,3,2,/XYZ/ABC/Control_5dpi_br_3_tr_2_1.fastq.gz,/XYZ/ABC/Control_5dpi_br_3_tr_2_2.fastq.gz
Rp1-I,Inoculated,5dpi,3,1,/XYZ/ABC/Inoculated_5dpi_br_3_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_5dpi_br_3_tr_1_2.fastq.gz
Rp1-I,Inoculated,5dpi,3,2,/XYZ/ABC/Inoculated_5dpi_br_3_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_5dpi_br_3_tr_2_2.fastq.gz
H95,Control,7dpi,3,1,/XYZ/ABC/Control_7dpi_br_3_tr_1_1.fastq.gz,/XYZ/ABC/Control_7dpi_br_3_tr_1_2.fastq.gz
H95,Control,7dpi,3,2,/XYZ/ABC/Control_7dpi_br_3_tr_2_1.fastq.gz,/XYZ/ABC/Control_7dpi_br_3_tr_2_2.fastq.gz
H95,Inoculated,7dpi,3,1,/XYZ/ABC/Inoculated_7dpi_br_3_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_7dpi_br_3_tr_1_2.fastq.gz
H95,Inoculated,7dpi,3,2,/XYZ/ABC/Inoculated_7dpi_br_3_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_7dpi_br_3_tr_2_2.fastq.gz
Rp1-I,Control,7dpi,3,1,/XYZ/ABC/Control_7dpi_br_3_tr_1_1.fastq.gz,/XYZ/ABC/Control_7dpi_br_3_tr_1_2.fastq.gz
Rp1-I,Control,7dpi,3,2,/XYZ/ABC/Control_7dpi_br_3_tr_2_1.fastq.gz,/XYZ/ABC/Control_7dpi_br_3_tr_2_2.fastq.gz
Rp1-I,Inoculated,7dpi,3,1,/XYZ/ABC/Inoculated_7dpi_br_3_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_7dpi_br_3_tr_1_2.fastq.gz
Rp1-I,Inoculated,7dpi,3,2,/XYZ/ABC/Inoculated_7dpi_br_3_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_7dpi_br_3_tr_2_2.fastq.gz
H95,Control,0hpi,4,1,/XYZ/ABC/Control_0hpi_br_4_tr_1_1.fastq.gz,/XYZ/ABC/Control_0hpi_br_4_tr_1_2.fastq.gz
H95,Control,0hpi,4,2,/XYZ/ABC/Control_0hpi_br_4_tr_2_1.fastq.gz,/XYZ/ABC/Control_0hpi_br_4_tr_2_2.fastq.gz
H95,Inoculated,0hpi,4,1,/XYZ/ABC/Inoculated_0hpi_br_4_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_0hpi_br_4_tr_1_2.fastq.gz
H95,Inoculated,0hpi,4,2,/XYZ/ABC/Inoculated_0hpi_br_4_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_0hpi_br_4_tr_2_2.fastq.gz
Rp1-I,Control,0hpi,4,1,/XYZ/ABC/Control_0hpi_br_4_tr_1_1.fastq.gz,/XYZ/ABC/Control_0hpi_br_4_tr_1_2.fastq.gz
Rp1-I,Control,0hpi,4,2,/XYZ/ABC/Control_0hpi_br_4_tr_2_1.fastq.gz,/XYZ/ABC/Control_0hpi_br_4_tr_2_2.fastq.gz
Rp1-I,Inoculated,0hpi,4,1,/XYZ/ABC/Inoculated_0hpi_br_4_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_0hpi_br_4_tr_1_2.fastq.gz
Rp1-I,Inoculated,0hpi,4,2,/XYZ/ABC/Inoculated_0hpi_br_4_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_0hpi_br_4_tr_2_2.fastq.gz
H95,Control,18hpi,4,1,/XYZ/ABC/Control_18hpi_br_4_tr_1_1.fastq.gz,/XYZ/ABC/Control_18hpi_br_4_tr_1_2.fastq.gz
H95,Control,18hpi,4,2,/XYZ/ABC/Control_18hpi_br_4_tr_2_1.fastq.gz,/XYZ/ABC/Control_18hpi_br_4_tr_2_2.fastq.gz
H95,Inoculated,18hpi,4,1,/XYZ/ABC/Inoculated_18hpi_br_4_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_18hpi_br_4_tr_1_2.fastq.gz
H95,Inoculated,18hpi,4,2,/XYZ/ABC/Inoculated_18hpi_br_4_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_18hpi_br_4_tr_2_2.fastq.gz
Rp1-I,Control,18hpi,4,1,/XYZ/ABC/Control_18hpi_br_4_tr_1_1.fastq.gz,/XYZ/ABC/Control_18hpi_br_4_tr_1_2.fastq.gz
Rp1-I,Control,18hpi,4,2,/XYZ/ABC/Control_18hpi_br_4_tr_2_1.fastq.gz,/XYZ/ABC/Control_18hpi_br_4_tr_2_2.fastq.gz
Rp1-I,Inoculated,18hpi,4,1,/XYZ/ABC/Inoculated_18hpi_br_4_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_18hpi_br_4_tr_1_2.fastq.gz
Rp1-I,Inoculated,18hpi,4,2,/XYZ/ABC/Inoculated_18hpi_br_4_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_18hpi_br_4_tr_2_2.fastq.gz
H95,Control,24hpi,4,1,/XYZ/ABC/Control_24hpi_br_4_tr_1_1.fastq.gz,/XYZ/ABC/Control_24hpi_br_4_tr_1_2.fastq.gz
H95,Control,24hpi,4,2,/XYZ/ABC/Control_24hpi_br_4_tr_2_1.fastq.gz,/XYZ/ABC/Control_24hpi_br_4_tr_2_2.fastq.gz
H95,Inoculated,24hpi,4,1,/XYZ/ABC/Inoculated_24hpi_br_4_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_24hpi_br_4_tr_1_2.fastq.gz
H95,Inoculated,24hpi,4,2,/XYZ/ABC/Inoculated_24hpi_br_4_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_24hpi_br_4_tr_2_2.fastq.gz
Rp1-I,Control,24hpi,4,1,/XYZ/ABC/Control_24hpi_br_4_tr_1_1.fastq.gz,/XYZ/ABC/Control_24hpi_br_4_tr_1_2.fastq.gz
Rp1-I,Control,24hpi,4,2,/XYZ/ABC/Control_24hpi_br_4_tr_2_1.fastq.gz,/XYZ/ABC/Control_24hpi_br_4_tr_2_2.fastq.gz
Rp1-I,Inoculated,24hpi,4,1,/XYZ/ABC/Inoculated_24hpi_br_4_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_24hpi_br_4_tr_1_2.fastq.gz
Rp1-I,Inoculated,24hpi,4,2,/XYZ/ABC/Inoculated_24hpi_br_4_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_24hpi_br_4_tr_2_2.fastq.gz
H95,Control,40hpi,4,1,/XYZ/ABC/Control_40hpi_br_4_tr_1_1.fastq.gz,/XYZ/ABC/Control_40hpi_br_4_tr_1_2.fastq.gz
H95,Control,40hpi,4,2,/XYZ/ABC/Control_40hpi_br_4_tr_2_1.fastq.gz,/XYZ/ABC/Control_40hpi_br_4_tr_2_2.fastq.gz
H95,Inoculated,40hpi,4,1,/XYZ/ABC/Inoculated_40hpi_br_4_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_40hpi_br_4_tr_1_2.fastq.gz
H95,Inoculated,40hpi,4,2,/XYZ/ABC/Inoculated_40hpi_br_4_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_40hpi_br_4_tr_2_2.fastq.gz
Rp1-I,Control,40hpi,4,1,/XYZ/ABC/Control_40hpi_br_4_tr_1_1.fastq.gz,/XYZ/ABC/Control_40hpi_br_4_tr_1_2.fastq.gz
Rp1-I,Control,40hpi,4,2,/XYZ/ABC/Control_40hpi_br_4_tr_2_1.fastq.gz,/XYZ/ABC/Control_40hpi_br_4_tr_2_2.fastq.gz
Rp1-I,Inoculated,40hpi,4,1,/XYZ/ABC/Inoculated_40hpi_br_4_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_40hpi_br_4_tr_1_2.fastq.gz
Rp1-I,Inoculated,40hpi,4,2,/XYZ/ABC/Inoculated_40hpi_br_4_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_40hpi_br_4_tr_2_2.fastq.gz
H95,Control,3dpi,4,1,/XYZ/ABC/Control_3dpi_br_4_tr_1_1.fastq.gz,/XYZ/ABC/Control_3dpi_br_4_tr_1_2.fastq.gz
H95,Control,3dpi,4,2,/XYZ/ABC/Control_3dpi_br_4_tr_2_1.fastq.gz,/XYZ/ABC/Control_3dpi_br_4_tr_2_2.fastq.gz
H95,Inoculated,3dpi,4,1,/XYZ/ABC/Inoculated_3dpi_br_4_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_3dpi_br_4_tr_1_2.fastq.gz
H95,Inoculated,3dpi,4,2,/XYZ/ABC/Inoculated_3dpi_br_4_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_3dpi_br_4_tr_2_2.fastq.gz
Rp1-I,Control,3dpi,4,1,/XYZ/ABC/Control_3dpi_br_4_tr_1_1.fastq.gz,/XYZ/ABC/Control_3dpi_br_4_tr_1_2.fastq.gz
Rp1-I,Control,3dpi,4,2,/XYZ/ABC/Control_3dpi_br_4_tr_2_1.fastq.gz,/XYZ/ABC/Control_3dpi_br_4_tr_2_2.fastq.gz
Rp1-I,Inoculated,3dpi,4,1,/XYZ/ABC/Inoculated_3dpi_br_4_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_3dpi_br_4_tr_1_2.fastq.gz
Rp1-I,Inoculated,3dpi,4,2,/XYZ/ABC/Inoculated_3dpi_br_4_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_3dpi_br_4_tr_2_2.fastq.gz
H95,Control,5dpi,4,1,/XYZ/ABC/Control_5dpi_br_4_tr_1_1.fastq.gz,/XYZ/ABC/Control_5dpi_br_4_tr_1_2.fastq.gz
H95,Control,5dpi,4,2,/XYZ/ABC/Control_5dpi_br_4_tr_2_1.fastq.gz,/XYZ/ABC/Control_5dpi_br_4_tr_2_2.fastq.gz
H95,Inoculated,5dpi,4,1,/XYZ/ABC/Inoculated_5dpi_br_4_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_5dpi_br_4_tr_1_2.fastq.gz
H95,Inoculated,5dpi,4,2,/XYZ/ABC/Inoculated_5dpi_br_4_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_5dpi_br_4_tr_2_2.fastq.gz
Rp1-I,Control,5dpi,4,1,/XYZ/ABC/Control_5dpi_br_4_tr_1_1.fastq.gz,/XYZ/ABC/Control_5dpi_br_4_tr_1_2.fastq.gz
Rp1-I,Control,5dpi,4,2,/XYZ/ABC/Control_5dpi_br_4_tr_2_1.fastq.gz,/XYZ/ABC/Control_5dpi_br_4_tr_2_2.fastq.gz
Rp1-I,Inoculated,5dpi,4,1,/XYZ/ABC/Inoculated_5dpi_br_4_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_5dpi_br_4_tr_1_2.fastq.gz
Rp1-I,Inoculated,5dpi,4,2,/XYZ/ABC/Inoculated_5dpi_br_4_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_5dpi_br_4_tr_2_2.fastq.gz
H95,Control,7dpi,4,1,/XYZ/ABC/Control_7dpi_br_4_tr_1_1.fastq.gz,/XYZ/ABC/Control_7dpi_br_4_tr_1_2.fastq.gz
H95,Control,7dpi,4,2,/XYZ/ABC/Control_7dpi_br_4_tr_2_1.fastq.gz,/XYZ/ABC/Control_7dpi_br_4_tr_2_2.fastq.gz
H95,Inoculated,7dpi,4,1,/XYZ/ABC/Inoculated_7dpi_br_4_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_7dpi_br_4_tr_1_2.fastq.gz
H95,Inoculated,7dpi,4,2,/XYZ/ABC/Inoculated_7dpi_br_4_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_7dpi_br_4_tr_2_2.fastq.gz
Rp1-I,Control,7dpi,4,1,/XYZ/ABC/Control_7dpi_br_4_tr_1_1.fastq.gz,/XYZ/ABC/Control_7dpi_br_4_tr_1_2.fastq.gz
Rp1-I,Control,7dpi,4,2,/XYZ/ABC/Control_7dpi_br_4_tr_2_1.fastq.gz,/XYZ/ABC/Control_7dpi_br_4_tr_2_2.fastq.gz
Rp1-I,Inoculated,7dpi,4,1,/XYZ/ABC/Inoculated_7dpi_br_4_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_7dpi_br_4_tr_1_2.fastq.gz
Rp1-I,Inoculated,7dpi,4,2,/XYZ/ABC/Inoculated_7dpi_br_4_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_7dpi_br_4_tr_2_2.fastq.gz
CR1,Resting_spores,pooled,1,1,/XYZ/ABC/Resting_spores_pooled_br_1_tr_1_1.fastq.gz,/XYZ/ABC/Resting_spores_pooled_br_1_tr_1_2.fastq.gz
CR1,Resting_spores,pooled,1,2,/XYZ/ABC/Resting_spores_pooled_br_1_tr_2_1.fastq.gz,/XYZ/ABC/Resting_spores_pooled_br_1_tr_2_2.fastq.gz
CR1,Resting_spores,pooled,2,1,/XYZ/ABC/Resting_spores_pooled_br_2_tr_1_1.fastq.gz,/XYZ/ABC/Resting_spores_pooled_br_2_tr_1_2.fastq.gz
CR1,Resting_spores,pooled,2,2,/XYZ/ABC/Resting_spores_pooled_br_2_tr_2_1.fastq.gz,/XYZ/ABC/Resting_spores_pooled_br_2_tr_2_2.fastq.gz
CR1,Resting_spores,pooled,3,1,/XYZ/ABC/Resting_spores_pooled_br_3_tr_1_1.fastq.gz,/XYZ/ABC/Resting_spores_pooled_br_3_tr_1_2.fastq.gz
CR1,Resting_spores,pooled,3,2,/XYZ/ABC/Resting_spores_pooled_br_3_tr_2_1.fastq.gz,/XYZ/ABC/Resting_spores_pooled_br_3_tr_2_2.fastq.gz
CR1,Resting_spores,pooled,4,1,/XYZ/ABC/Resting_spores_pooled_br_4_tr_1_1.fastq.gz,/XYZ/ABC/Resting_spores_pooled_br_4_tr_1_2.fastq.gz
CR1,Resting_spores,pooled,4,2,/XYZ/ABC/Resting_spores_pooled_br_4_tr_2_1.fastq.gz,/XYZ/ABC/Resting_spores_pooled_br_4_tr_2_2.fastq.gz
CR1,Resting_spores,pooled,5,1,/XYZ/ABC/Resting_spores_pooled_br_5_tr_1_1.fastq.gz,/XYZ/ABC/Resting_spores_pooled_br_5_tr_1_2.fastq.gz
CR1,Resting_spores,pooled,5,2,/XYZ/ABC/Resting_spores_pooled_br_5_tr_2_1.fastq.gz,/XYZ/ABC/Resting_spores_pooled_br_5_tr_2_2.fastq.gz
CR1,Germinated_spores,pooled,1,1,/XYZ/ABC/Germinated_spores_pooled_br_1_tr_1_1.fastq.gz,/XYZ/ABC/Germinated_spores_pooled_br_1_tr_1_2.fastq.gz
CR1,Germinated_spores,pooled,1,2,/XYZ/ABC/Germinated_spores_pooled_br_1_tr_2_1.fastq.gz,/XYZ/ABC/Germinated_spores_pooled_br_1_tr_2_2.fastq.gz
CR1,Germinated_spores,pooled,2,1,/XYZ/ABC/Germinated_spores_pooled_br_2_tr_1_1.fastq.gz,/XYZ/ABC/Germinated_spores_pooled_br_2_tr_1_2.fastq.gz
CR1,Germinated_spores,pooled,2,2,/XYZ/ABC/Germinated_spores_pooled_br_2_tr_2_1.fastq.gz,/XYZ/ABC/Germinated_spores_pooled_br_2_tr_2_2.fastq.gz
CR1,Germinated_spores,pooled,3,1,/XYZ/ABC/Germinated_spores_pooled_br_3_tr_1_1.fastq.gz,/XYZ/ABC/Germinated_spores_pooled_br_3_tr_1_2.fastq.gz
CR1,Germinated_spores,pooled,3,2,/XYZ/ABC/Germinated_spores_pooled_br_3_tr_2_1.fastq.gz,/XYZ/ABC/Germinated_spores_pooled_br_3_tr_2_2.fastq.gz
CR1,Germinated_spores,pooled,4,1,/XYZ/ABC/Germinated_spores_pooled_br_4_tr_1_1.fastq.gz,/XYZ/ABC/Germinated_spores_pooled_br_4_tr_1_2.fastq.gz
CR1,Germinated_spores,pooled,4,2,/XYZ/ABC/Germinated_spores_pooled_br_4_tr_2_1.fastq.gz,/XYZ/ABC/Germinated_spores_pooled_br_4_tr_2_2.fastq.gz
CR1,Germinated_spores,pooled,5,1,/XYZ/ABC/Germinated_spores_pooled_br_5_tr_1_1.fastq.gz,/XYZ/ABC/Germinated_spores_pooled_br_5_tr_1_2.fastq.gz
CR1,Germinated_spores,pooled,5,2,/XYZ/ABC/Germinated_spores_pooled_br_5_tr_2_1.fastq.gz,/XYZ/ABC/Germinated_spores_pooled_br_5_tr_2_2.fastq.gz
